D115 ID	Leika Nummer	Leika Gruppe	Leika Kennung	Leika Verrichtung	Leika Synonyme
324721	11107904000000	Sozialleistungen	Führung von Betreuungen		Betreuung | Entmündigung | Pflegschaft | Demenz | Verwirrtheit | juristische Vertretung | unmündig | rechtliche Vertretung | rechtliche |
326590	99013005026000	Adoption	Sorgeerklärung	Beurkundung	Sorgerecht
326081	99072003026000	Kindesunterhalt	Verpflichtung zur Erfüllung von Unterhaltsansprüchen	Beurkundung	Unterhaltsrecht | Titel | Beurkundung | Unterhalt
124508	99050004000000	Gewerbe	Bewachungsgewerbe		Bewachungserlaubnis | Wachdienst | Sicherheitsdienst | Objektschutz | Türsteher | Doorman | Bewacher | Bewachung | Security | Detektei | Sicherheitsgewerbe
327781	11050004014000	Gewerbe	Bewachungsgewerbe	Meldung	Wachpersonen | Wachpersonal | Beschäftigte | Sicherheitspersonal | Türsteher
324340	99123002000000	Vermessung und Kataster	Flurstück		Grundstücksteilung | Teilung | Grenzvermessung | Grundstücksgrenzen anzeigen | Grenzmarken | Grenzstein | Abmarkung Grenzstreitigkeiten | Überbauung | Flurstücke | Grenzherstellung
324313	99019007016000	Berufsbildung	Bildungsabschlüsse aus anderen Bundesländern	Anerkennung	Abitur | Abschluss | Anerkennungen | Gleichwertigkeiten | Zeugnisse | Bildungabschluss | Bildungsabschlüssen | Bundesländer
326341	11001004004901	Abfall	Wilder Müll	Entsorgung	Kompost | Brennholz | Kaminholz | Rasenschnitt | Grünabfallkompostierungsanlage | Abfallbeseitigung | Abfall | Laub | Kleingartenabfälle | Grünabfall | Kompostierung | Entsorgung | Müllabfuhr | Komposthaufen | beseitigen | Kompostierungsanlage | Gartenabfall
324234	11036012012900	Fahrzeugzulassung	Zulassungsbescheinigung Teil II	Ausstellung	ZBII | Neufahrzeuge | EU | ohne gleichzeitige Zulassung | Ausland | Zulassungsbescheinigung Teil II | Blanko-Zulassungsbescheinigung | blanko
324235	11036012012901	Fahrzeugzulassung	Zulassungsbescheinigung Teil II	Ausstellung	ZBII | Ausland | ohne Zulassung | EU | EWR | Zulassungsbescheinigung Teil II | Blanko-Zulassungsbescheinigung | blanko | ohne Haltereintrag
324659	11010905000000	Aufenthaltstitel	Blaue Karte EU		Blaue Karte EU | Aufenthaltstitel für Hochqualifizierte | Blue Card | carte bleue européenne | tarjeta azul UE | Cartao Azul UE
327004	99107047080000	Sozialleistungen	Blindenhilfe	Gewährung	Blindenhilfe | Hilfe für Blinde
325623	11123003023000	Vermessung und Kataster	Bodenrichtwert	Auskunft	Bodenwerte | Bodenrichtwert | BRW | Bodenrichtwert-Atlas | BRW-Atlas | Bodenrichtwertatlas | Bodenrichtwertkarte | Bodenleitwert | Wertermittlung | Grundstückswert | Grundstückswertermittlung | Gutachterausschuss | Bodenrichtwerte | Grundstückswerte | Bodenleitwerte
324283	11010902000000	Aufenthaltstitel	Daueraufenthaltskarte		EU | EG | EWR | Visum | Daueraufenthalt | Daueraufenthaltskarte
318993	11059002018000	Heirat	Ehefähigkeitszeugnis	Beratung	Hochzeit im Ausland | Eheschließung im Ausland | Heirat im Ausland Ehefähigkeit | Heiratsgenehmigung | Ledigkeitsnachweis | Ledigkeitsbescheinigung | Ehefähigkeitszeugnis
318994	99059002012000	Heirat	Ehefähigkeitszeugnis	Ausstellung	Eheschließung im Ausland | Hochzeit im Ausland | Ehefähigkeit | Heiratsgenehmigung | Ledigkeitsnachweis | Ledigkeitsbescheinigung | Ehefähigkeitszeugnis
326195	11901911000000	Übergeordnete Personenstandsfälle	Ehefähigkeitszeugnis		Genehmigung zur Eheschließung | Heiratserlaubnis | Heiratsbescheinigung | Ehefähigkeitszeugnis
318963	11059001104902	Heirat	Eheschließung	Anmeldung	Heiratsbuch | Heiraten | Eheschließung | Ehe | Hochzeit | Ausland | Ausländer
324553	11059001104904	Heirat	Eheschließung	Anmeldung	Heirat | Ehe | Hochzeit | Heiratsbuch | Spätaussiedler
324551	11059001104903	Heirat	Eheschließung	Anmeldung	Ehe | Hochzeit | heiraten | Spätaussiedler
318968	99059001110000	Heirat	Eheschließung	Vollzug	Ehe | Eheschließung | Heiratsbuch | heiraten | Ehe | Hochzeit
326197	11901912000000	Übergeordnete Personenstandsfälle	Eheschließung		Heirat im Ausland
318962	11059001104901	Heirat	Eheschließung	Anmeldung	Heiratsbuch | heiraten | Ehe | Hochzeit | Eheschließung | Ausland | Anmeldung | Ausländer
318967	11059001026900	Heirat	Eheschließung	Beurkundung	Nachbeurkundung | Heiratsbuch | heiraten | Ehe | Hochzeit | Ausland
318961	11059001104900	Heirat	Eheschließung	Anmeldung	Heiratsbuch | Heiraten | Eheschließung | Heiratsurkunde | Personenstandsurkunde | Abschrift | Familienbuch | Standesbeamte | Trauung | Prüfung | Ehefähigkeit | Namensführung | Namenserklärungen | Ehenamen | Familiennamen | Anschlusserklärungen | Hochzeit | Brautpaar | Ehegatten | Verlobte | Abstammungsurkunde | Heiraten | Ehe | Trauung | Heiratsregister | Anmeldung | Auskunft | Zusammenschreiben | Jawort
318966	11059001026901	Heirat	Eheschließung	Beurkundung	Heiratsbuch | heiraten | Ehe | Hochzeit | Ausland | Nachbeurkundung | Eheschließung | Beratung
324583	99030003000000	Bürgerengagement	Ehrenamtliche Tätigkeit		Freiwilligenarbeit | Ehrenamt | freiwilliges öffentliches Amt | Bürgerschaftliches Engagement | Sozialkommission | Altersjubiläum | Geburtstagsjubiläum | Ehejubiläum | Besuchsdienst |
318998	99099002000000	Staatsangehörigkeit	Einbürgerung		Einbürgerung | Staatsangehörigkeit | Einbürgerungsurkunde | Staatsangehörigkeitsausweis | Beibehaltungsgenehmigung
324484	99107005000000	Sozialleistungen	Eingliederungshilfe für behinderte Menschen		Eingliederungshilfe | Behinderung | behinderte | Rehabilitation | Teilhabe | Wohnformen für Menschen mit Behinderung | Teilhabeleistungen | Leben in der Gemeinschaft | Wohnheime für Menschen mit Behinderung | Werkstätten | Gebärdendolmetscher | Tagesstätten | Einzelfallhelfer | Einzelfallhilfe | therapeutische Wohngemeinschaft | Wohngemeinschaft | Beschäftigungsstätte | persönliches Budget | trägerübergreifendes persönliches Budget | psychosoziale Betreuung | sozialpädagogische Reise |
141587	99144017215000	Organisation	Verwaltungsverfahren über eine einheitliche Stelle	Abwicklung	Handel | Fabrik | Gewerbe | Gewerbeschein | Gewerbeangelegenheiten | Geschäft | Unternehmensanmeldung | Anmeldung | Geschäftsanmeldung | Betrieb | Laden | Unternehmen | Betriebsanmeldung | Gewerbebetrieb | Gewerbe anmelden | Gewerbe abmelden | Gewerbe umelden | Ordnungsamt | Gewerbeangelegenheit | Gewerbetreibender | BQFG | Anerkennung in Deutschland | ZAB | Ausländische Qualifikation | Diplomanerkennung | Zentralstelle für ausländisches Bildungswesen | BQ-Portal | Reglementierter Beruf | Anabin | Nicht reglementierter Beruf | Berufsanerkennungsrichtlinie | Anerkennungsgesetz | Berufszugang mit ausländischen Qualifikationen | Niederlassungsfreiheit | Anerkennung der Hochschulzugangsberechtigung | BQRL | Einheitlicher Ansprechpartner | Berufsanerkennung
325685	99102008002000	Steuern	Einkommensteuer	Festsetzung	Einkommensteuer - Festsetzung | Antragsveranlagung | Lohnsteuerjahresausgleich | ELSTER | Elster | elster | elektronsiche Steuererklärung | ELSTEROnline
325687	11102008002901	Steuern	Einkommensteuer	Festsetzung	Steuererklärungspflicht | Steuererklärung | Pflichtveranlagung
324254	11003900000000	Gesundheit	Einschulungsuntersuchung		Einschulungsuntersuchung | Schuleingangsuntersuchung | Schultauglichkeitsuntersuchung | Schuluntersuchung | ESU
151702	99085001011000	Reisepass	Reisepass	Änderung	lybienstempel | lybien-stempel | libyenstempel | lybienstempel
326808	99119004060004	Vereine	Vereinsregister	Eintragung	Eintragung Verein | Vereinseintragung | Vereinsregister | Registrierung Verein | Rechtsfähigkeit | Idealverein | e.V. | eingetragener Verein | Vereinsgründung | Gründung eines Vereins
327076	11036005005901	Fahrzeugzulassung	Betrieb von Fahrzeugen	Erlaubnis	Einzelgenehmigung | Betriebserlaubnis | zulassungsfreie Fahrzeuge | Einzelgenehmigung für Kleinkrafträder | vierrädrige Leichtkraftfahrzeuge | motorisierte Krankenfahrstühle | selbstfahrende Arbeitsmaschinen | Stapler | bauartbedingten Höchstgeschwindigkeit von nicht mehr als 20 km/h
327084	11036009069906	Fahrzeugzulassung	Kraftfahrzeugkennzeichen	Zuteilung	Bevorrechtigung | EMOG | steuerbefreit | Elektrofahrzeug | Elektrokennzeichen
325831	99102036109000	Steuern	Elektronische Lohnsteuerabzugsmerkmale	Einsicht gewähren	Steuerkarte | Hochzeit | Kinderfreibetrag | Familienstand | Einkommensteuer | Steuerauskunft | Elstam | Steuerklasse | Kinderfreibeträge | Lohnsteuerkarte | Elektronische Lohnsteuerabzugsmerkmale
325827	99102036011000	Steuern	Elektronische Lohnsteuerabzugsmerkmale	Änderung	Lohnsteuerkarte ersetzen | Namensänderung auf der Lohnsteuerkarte sowie Lohnsteuerklassenwechsel bei Scheidung | Namensänderung auf der Lohnsteuerkarte | Lohnsteuerkarte | Zweite Lohnsteuerkarte | Ersatzlohnsteuerkarte | Lohnsteuerkarte ändern | Namensänderung auf der Lohnsteuerkarte sowie Lohnsteuerklassenwechsel bei Heirat | Steuer | Elektronische Lohnsteuerabzugsmerkmale | Steuerklasse
326231	11010006040000	Aufenthaltstitel	elektronischer Aufenthaltstitel	Ausgabe	Elektronischer Aufenthaltstitel | eAT |
326802	11010006063900	Aufenthaltstitel	elektronischer Aufenthaltstitel	Sperrung	elektronischer Aufenthaltstitel | eAT | Sperrung | Sperre
326800	11010006011900	Aufenthaltstitel	elektronischer Aufenthaltstitel	Änderung	Elektronischer Aufenthaltstitel | eAT | Adresse | Änderung
326079	99041006000000	Familienförderung	Elterngeld		Elterngeld | Bundeselterngeld | Landeselterngeld | Erziehungsgeld | Elternzeit |
324699	11123902022000	Vermessung und Kataster	Entfernungsbescheinigung	Bescheinigung	Entfernungsbescheinigung | kürzeste Entfernung | Wegstrecke | Straßendistanz | Luftlinienentfernung
325325	99102003000000	Steuern	Entlastungsbetrag für Alleinerziehende		Allein-Erziehende | Alleinerziehende | Entlastungsbetrag | Steuerklasse II
325469	99076001000000	Kriegsopferentschädigung	Bestattungsgeld für Kriegsopfer		Schadensausgleich | Gewaltopfer | Finanzielle Hilfen (Gewaltopfer) |
326768	99046002086000	Gerichtliche Leistungen	Ausschlagung der Erbschaft	Niederschrift	Erbschaftsausschlagung | Nichtannahme Erbschaft | Ausschlagungserklärung | Erbausschlagung | Ausschlagung der Erbschaft | Erbrecht | Erbschaft
327675	99046018090000	Gerichtliche Leistungen	Testament	Rückgabe	Rücknahme des Testaments aus der amtlichen Verwahrung | Erbrecht | Verwahrung | Testament
327671	99046018089000	Gerichtliche Leistungen	Testament	Verwahrung	Verwahrung | Testament | Erbrecht | Erbvertrag; Erbverträge |
325707	99102009002000	Steuern	Erbschaftsteuer	Festsetzung	Erbschaftsteuer - Festsetzung | Schenkungen | Pflichtteil | Erben | Steuern | Erbschaftssteuern | Schenkungssteuern | festsetzen
324281	11010002005900	Aufenthaltstitel	Daueraufenthalt-EG	Erlaubnis	Erlaubnis zum Daueraufenthalt-EG | unbefristet | Visum | Europäische Union | EG | Wanderarbeiter | Daueraufenthalt-EU
325447	11018035001901	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Diätassistentin / Diätassistent	Erteilung	Diätassistent | Diätassistentin; Berufsbezeichnung | Berufsurkunde | Erlaubnis | Berufserlaubnis
325449	11018037001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Ergotherapeutin / Ergotherapeut	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Ergotherapeut | Ergotherapeutin
325455	11018039001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Gesundheits- und Kinderkrankenpflegerin / -pfleger	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Kinderkrankenpfleger | Kinderkrankenschwester | Gesundheits- und Kinderkrankenpflegerin
325453	11018043001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Gesundheits- und Krankenpflegerin / - pfleger	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Krankenpflegerin | Krankenpfleger | Krankenschwester | Gesundheits- und Krankenpfleger
325451	11018067001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Gesundheitsaufseherin / -aufseher	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Gesundheitsaufseher | Gesundheitsaufseherin
325459	11018049001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Hebamme / Entbindungspfleger	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Hebamme | Entbindungspfleger
325463	11018063001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Kardiotechnikerin / -techniker	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Kardiotechniker | Kardiotechnikerin
325461	11018069001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Logopädin / Logopäde	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Logopäde | Logopädin
325465	11018071001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Masseurin /Masseur und medizinische(r) Bademeisterin / Bademeister	Erteilung	Erlaubnis | Berufserlaubnis | Berufsbezeichnung | Berufsurkunde | Bademeister | Masseur
325523	11018075001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Medizinisch-technische(r) Laboratoriumsassistentin / -assistent	Erteilung	Berufserlaubnis | Berufsurkunde | Berufsberechtigung | Berufsbezeichnungsurkunde | Berufsbezeichnungserlaubnis | Medizinisch-technischer | Laboratoriumsassistent | Laboratoriumsassistentin
325521	11018065001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Medizinische Sektions- und Präparationsassistentin / -assistent	Erteilung	Berufserlaubnis | Berufsurkunde | Berufsberechtigung | Berufsbezeichnungsurkunde | Präparationsassistent
325525	11018087001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Pharmazeutisch-technische(r) Assistentin / Assistent	Erteilung	Berufserlaubnis | Berufsurkunde | Berufsberechtigung | Berufsbezeichnungsurkunde | Berufsbezeichnungserlaubnis | PTA | Pharmazeutisch-technischer | Assistent. | Assistentin
325567	99018083001000	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Physiotherapeutin / -therapeut	Erteilung	Physiotherapeut | Physiotherapeutin | Krankengymnast | Krankengymnastin | Berufserlaubnis | Berufsbezeichnung
325527	11018085001900	Berufsberechtigung	Erlaubnis zum Führen der Berufsbezeichnung Podologin / Podologe	Erteilung	Berufserlaubnis | Berufsurkunde | Berufsberechtigung | Berufsbezeichnungsurkunde | Berufsbezeichnungserlaubnis | Podologen | Podologin
325519	11018089001900	Berufsberechtigung	Außer Kraft - Erlaubnis zum Führen der Berufsbezeichnung Rettungsassistentin / -assistent	Erteilung	Berufsbezeichnung | Berufserlaubnis | Rettungsassistent | Rettungsassistentin | Berufsurkunde |
325399	99134005000000	Krankenversicherung	Maßnahmen zur Herbeiführung einer Schwangerschaft		Genehmigung | künstliche Befruchtung | Herbeiführung einer Schwangerschaft | Kinderwunsch
325543	99018053001000	Berufsberechtigung	Erlaubnis zur vorübergehenden Ausübung des Apothekerberufs	Erteilung	Berufserlaubnis | Apotheker | Apothekerin | Arbeitserlaubnis | Apothekerarbeitserlaubnis | Apothekeranerkennung | Berufsanerkennung | Apothekertätigkeit
325553	99018012001000	Berufsberechtigung	Erlaubnis zur vorübergehenden Ausübung des tierärztlichen Berufs	Erteilung	Tierarzt ohne Approbation | Berufserlaubnis | Tierarzt | Tierärztin | Arbeitserlaubnis | Tierarztarbeitserlaubnis | Tierarztanerkennung | Berufsanerkennung | Tierarzttätigkeit
325551	99018051001000	Berufsberechtigung	Erlaubnis zur vorübergehenden Ausübung des zahnärztlichen Berufs	Erteilung	Berufserlaubnis | Zahnarzt | Zahnärztin | Arbeitserlaubnis | Zahnarztarbeitserlaubnis | Zahnarztanerkennung | Berufsanerkennung | Zahnarzttätigkeit
325539	99018055001000	Berufsberechtigung	Erlaubnis zur vorübergehenden Ausübung des ärztlichen Berufs	Erteilung	Berufserlaubnis | Arzt | Ärztin | Arbeitserlaubnis | Arztarbeitserlaubnis | Arztanerkennung | Berufsanerkennung | Arzttätigkeit
326277	99110003001000	Tierhaltung und Tierschutz	Erlaubnis zur Zucht, Haltung und zum Handel mit Tieren	Erteilung	gewerbliche | Tierhaltungen | Tiergewerbe | Tierhaltungserlaubnisse | Haltungsgenehmigungen | Tiere
326756	11110003029000	Tierhaltung und Tierschutz	Erlaubnis zur Zucht, Haltung und zum Handel mit Tieren	Prüfung	Kontrolle | Sachkunde
121593	99023001036000	Fahrerlaubnis	Führerschein	Ersatz	Ersatzführerschein | Fahrerlaubnis | Führerschein | Verlust Führerschein | Diebstahl
326824	99116004027001	Wohnungswesen	Wohnungsbau	Förderung	IBB | Wohnraum | Förderung | Bescheinigung | Berechnung | Einkommen | Investitionsbank | Eigentum | Eigentumsmaßnahmen | Überprüfung | Einkommensüberprüfung
121627	11023002001000	Fahrerlaubnis	Fahrerlaubnis	Erteilung	Erteilung der Fahrerlaubnis | Ersterteilung der Fahrerlaubnis | Führerscheinerteilung | Führerschein | Fahrerlaubnis
121629	99023002049000	Fahrerlaubnis	Fahrerlaubnis	Erweiterung	Fahrerlaubnis erweitern | Führerschein | Fahrerlaubnis | Erweiterung
327380	11046035171000	Gerichtliche Leistungen	Europäischer Mahnbescheid	Erlass	Europäisches Mahnverfahren | Mahnung | Forderungen eintreiben | Geld einfordern
121641	99084002000000	Personenbeförderung	Fahrerkarte		Fahrerkarte | Speicherkarte | Tachograph | Kontrollgerät
324450	11023002049900	Fahrerlaubnis	Fahrerlaubnis	Erweiterung	D-Klassen | Erweiterung | Bus | Führerschein | Fahrerlaubnis
121622	99084003001000	Personenbeförderung	Fahrerlaubnis zur Fahrgastbeförderung	Erteilung	Fahrgastbeförderung | Fahrerlaubnis | Führerschein | FzF | P-Schein | Personenbeförderung
324389	11084003020000	Personenbeförderung	Fahrerlaubnis zur Fahrgastbeförderung	Verlängerung	Personenbeförderung | Verlängerung | Fahrgastbeförderung | Fahrerlaubnis | Führerschein | FzF | P-Schein
324915	11084003036000	Personenbeförderung	Fahrerlaubnis zur Fahrgastbeförderung	Ersatz	Verlust | Diebstahl | Fahrgastbeförderung | Fahrerlaubnis | Führerschein | FzF | P-Schein | Personenbeförderung
326461	11001004004908	Abfall	Wilder Müll	Entsorgung	Fahrräder
150169	11107902000000	Sozialleistungen	Familienpass		Familienpass | Kultur | Familien
327358	11041003900000	Familienförderung	Ausübung der Personensorge und des Umgangsrechts	Regelung des Umgangs mit dem Kind	Umgang | Umgangsrecht | Besuchskontakte | Umgangspflegschaft | begleiteter Umgang | Umgangsausschluss
121490	99108007040000	Straßenverkehr	Feinstaubplakette	Ausgabe	Feinstaubplakette | Umweltzonen | Smog
324141	99019016037000	Berufsbildung	fachliche Ausbildereignung nach BBiG	Feststellung	Ausbildereignung | Ausbildungsberechtigung | Berufsbildungsgesetz
326233	99010008012000	Aufenthaltstitel	Fiktionsbescheinigung	Ausstellung	Fiktionsbescheinigung | Aufenthaltstitel | Aufenthaltserlaubnis | Visum | vorläufig
327479	99050091005000	Gewerbe	Finanzanlagenvermittler	Erlaubnis	geschlossene Fonds | Investment | Anlageberater | Anlageberatung | Kreditwesen | Vermögensanlage | Finanzanlagenvermittler | Finanzanlagenberater | Kapitalanlagenvermittler | Vermögensanlage | Investment | Finanzdienstleistung
324355	99042001000000	Fischerei	Fischereischein		Angelschein | Angelerlaubnis | Fischerei | Fischereischeinerteilung | Angeln | Fischer | Fischereischeinausstellung | Fischereiwesen | Fisch | Fischereierlaubnisschein | Fischerprüfung | Anglerprüfung | Fischereiprüfung | Abgabe Fischerei | Jahresfischereischein | Jugendfischereischein | Prüfung Fischerei | Sachkunde Fischerei | Staatliche Fischerprüfung | Angelerlaubnisschein | Angelkarte | Anglerkarte | Fischereireferat | Fischerschein
325621	11123002092000	Vermessung und Kataster	Flurstück	Verschmelzung	Verschmelzung | Flurstück | Zusammenlegung | Aufhebung von Grenzen | Vereinigung | Bereinigung | Grundstück | Zusammenlegung | Trennung
325821	99102002060002	Steuern	Steuerfreibeträge	Eintragung	Steuerfreibeträge - Eintragung | Kinder über 18 Jahren | Kinderfreibeträge | Kinderfreibetrag | Freibetrag für Kinder | Kinder - Steuererleichterungen
121543	99089017000000	Sicherheit und Ordnung	Fundsachen		Fundbüro | Finderlohn | Fundsachen abgeben | Verlorene Sachen |
326245	99089023000000	Sicherheit und Ordnung	ausgesetzte oder freilaufende Haustiere		herrenlos | herrenloses Tier | ausgesetzt | ausgesetzte Katze | Fundtier | Fundtiere | Hund | Tier | freilaufend | freilaufender Hund | ausgesetzt | ausgesetzter Hund | Tier gefunden | Herrenlose | Ausgesetzte | Zugelaufen
326429	11023900089000	Fahrerlaubnis	Führerschein (Verkehrsordnungswidrigkeit)	Verwahrung	Führerschein | Fahrerlaubnis | Führerscheinabgabe | Führerscheinannahme | Führerschein Abholung | Fahrerlaubnis Abholung | Führerschein Abgabe | Fahrerlaubnis Abgabe | Fahrverbot | Kompensation | Lappen | Pappe | Führerscheinangelegenheiten
121596	99023001012005	Fahrerlaubnis	Führerschein	Ausstellung	Führerscheindaten | Führerschein | Fahrerlaubnis | Karteikartenabschrift | Führerscheinregister
120926	99049003101000	Führungszeugnis	Auskunft aus dem Zentralregister	Mitteilung	Führungszeugnisse | Bundeszentralregister | Strafregister | polizeiliches Führungszeugnis | Überbeglaubigungen | apostille | Fuhrungszeugniss
326343	11001004004902	Abfall	Wilder Müll	Entsorgung	Kompost | Brennholz | Frühjahrssammlung | Holzabfall | Laub | Grünabfallentsorgung | Grünschnitt sammeln | Kompostierung | Gartenabfallsammlung | Grünabfallsammlung | Entsorgung | Kompostierungsanlage | Gartenabfall | Grünabfall Herbstsammlung | Grünschnitt | Kaminholz | Baumschnitt | Rasenschnitt | Grünabfallkompostierungsanlage | Abfall | Abfallbeseitigung | Häckselplatz | Grünschnittsammlung | Verbrennung | Grünabfall-Entsorgung | Kleingartenabfälle | Grünabfall | Pflanzenabfälle | beseitigen | Komposthaufen | Müllabfuhr
327483	99025002005000	Gaststätten	Gaststättengewerbe	Erlaubnis	Gaststättenkonzession | erlaubnisbedürftiges Gaststättengewerbe | Veranstaltungen | Gaststättenrichtlinie | Gaststättenerlaubnis | Ausschankgenehmigung | Konzession für Gaststätten | Alkoholausschank | Weihnachtsmarkt | Gaststättengestattung | Volksfeste | Wirtschaftserlaubnis | Schankerlaubnis | Märkte | Gaststättenbetrieb | Gaststätte | Restaurant | Gastwirt | Kneipe | Alkohol | Schankwirtschaft | Schank- und Speisewirtschaft
327491	99025002056000	Gaststätten	Gaststättengewerbe	Gestattung	Gestattung | Fest | Veranstaltung | besonderer Anlass | Gaststättenerlaubnis | Schankstand | Alkohol | Straßenfest | Weihnachtsmarkt | Sportveranstaltung | Firmenjubiläum
325893	11063022169000	Immissionsschutz	Lärmschutz	Anzeige	Lärmschutz | Anzeige | Gaststättenlärm | Kneipenlärm | Schankvorgarten | Lärmbeschwerde | Lärmanzeige | Gastwirt
326193	11901910000000	Übergeordnete Personenstandsfälle	Geburt auf deutschen Seeschiffen		Schiffsgeburt
326207	11901909000000	Übergeordnete Personenstandsfälle	Geburt im Ausland		Auslandsgeburt | Kind im Ausland geboren
318959	99027003026000	Geburt	Geburt im Ausland	Beurkundung	Geburt | Nachbeurkundung | Ausland | Urkunde | Geburtsurkunde
318958	99027003000000	Geburt	Geburt im Ausland		Urkunde | Nachbeurkundung | Geburtsurkunde | Ausland | Geburt
318957	99027002000000	Geburt	Geburtsurkunde		Schwangerschaft | Anmeldung | Standesamtsangelegenheit | Urkunde | Standesamtsangelegenheiten | Standesamt | Kind | Mutter | Sohn | Tochter | Geburtsbeurkundung | Geburt | Geburtstag | Klapperstorch | Nachwuchs | Vater | Kindesanmeldung | Bescheinigung Geburt | Entbindung | Frühgeburt | Baby | Geburtsurkunde | Urkunde (Geburtsurkunde)
318960	99027002012000	Geburt	Geburtsurkunde	Ausstellung	Geburtsurkunde | Geburt | Urkunde | Kind | Baby | Geburtsschein | Geburtsregister
325625	99123006058000	Vermessung und Kataster	Gebäudeeinmessung	Durchführung	Gebäudevermessung | Flurkarte | Überbau
324338	11123006028000	Vermessung und Kataster	Gebäudeeinmessung	Überwachung	Hauseinmessung | Gebäudevermessung | Gebäudeeinmessung | Einmessungspflicht | Gebäudeeinmessungspflicht | Gebäudevermessungspflicht | Gebäudeaufnahmen
324795	11123907022000	Vermessung und Kataster	Gegenstandslosigkeitsbescheinigung	Bescheinigung	Gegenstandslosigkeitsbescheinigung | Belastung in Abteilung II des Grundbuchs
324489	99108015182000	Straßenverkehr	Gehwegüberfahrten	Herstellung	Gehwegüberfahrten | Grundstückszufahrt | Grundstückseinfahrt
324499	99108015011000	Straßenverkehr	Gehwegüberfahrten	Änderung	Gehwegüberfahrten - Änderung - Herstellung - Anlieger
324501	99108015183000	Straßenverkehr	Gehwegüberfahrten	Instandhaltung	provisorische Gehwegüberfahrt | Baustellenzufahrt | Gehwegüberfahrten für vorübergehende Zwecke
124488	99050021000000	Gewerbe	Pfandleihgewerbe		Pfandleiher | Pfandvermittler | Pfandleihgewerbe
158163	11089026005902	Sicherheit und Ordnung	Glücksspielveranstaltung	Erlaubnis	Lotterie | Verlosung | Tombola
324342	11123001076000	Vermessung und Kataster	Geodaten und Geoinformationen	Abgabe	Landeskartenwerk 1:5000 | Karten von Berlin 1:5000 | K5 | Plan 1:5000 | Lageplan 1:5000 | Deutsche Grundkarte 1:5000 | LK 5000 | LK5
326708	99046046000000	Gerichtliche Leistungen	Zulassung der Öffentlichkeit vor Gericht		öffentliche Verhandlung | Schulklassen im Gericht | Schulklassen | Gerichtsverhandlungen
326275	99003009012002	Gesundheit	Gesundheitszeugnis	Ausstellung	Tiergesundheitsatteste | Tierreiseatteste | Tiere | Atteste | Reiseatteste | Gesundheitsatteste | Gesundheitsbescheinigungungen | Impfatteste | Impfbescheinigungen | Tieratteste
122107	99050012070000	Gewerbe	Gewerbe	Abmeldung	Gewerbe | Unternehmen | Ordnungsamt | Gewerbeangelegenheit | Betrieb | Fabrik | Gewerbeangelegenheiten | Gewerbebetrieb | Gewerbetreibender | Laden | Betriebsabmeldung | Abmeldung | Unternehmensabmeldung | Gewerbe abmelden | Geschäftsabmeldung | Geschäft | Produktionsstätte | Gewerbeschein | Gewerbeanzeige | Gewerbeabmeldung; Betriebsaufgabe | Betriebseinstellung
121921	99050012104000	Gewerbe	Gewerbe	Anmeldung	Gewerbeanmeldung | Gewerbeanzeige | Gewerbemeldung | GewA1 | Gewerbeschein | Betriebsaufnahme | Geschäftseröffnung | Neugründung | Rechtsformwechsel
122111	99050012071000	Gewerbe	Gewerbe	Ummeldung	Gewerbeummeldung | Gewerbeanzeige | Gewerbemeldung | GewA2 | Gewerbeschein | Betriebssitzverlegung | Gewerbe | -verlegung | erweiterung | ausdehnung | Tätigkeitserweiterung | Betriebssitzverlegung | Gewerbeschein | Gewerbeanzeige | Gewerbeummeldung | Verlegung | Ausdehnung
